,Brand,State,Prediction
0,adidas,SD,0.0
1,nike,PA,0.03
2,adidas,IL,0.12
3,adidas,WI,0.0
4,nike,OR,0.18
5,nike,IL,0.08
6,nike,AZ,0.03
7,adidas,CT,0.0
8,nike,NJ,0.16
9,adidas,VA,0.0
10,adidas,GA,0.08
11,nike,OH,0.0
12,adidas,MA,0.71
13,nike,NE,0.0
14,adidas,MD,0.0
15,adidas,NV,0.2
16,nike,CA,0.08
17,adidas,WA,0.0
18,adidas,TN,0.26
19,adidas,WV,0.0
20,adidas,NM,0.0
21,nike,SC,0.0
22,adidas,MN,0.0
23,nike,IA,0.18
24,adidas,IA,0.0
25,adidas,MS,0.0
26,adidas,NH,0.0
27,adidas,NY,0.04
28,adidas,FL,0.0
29,nike,WA,0.27
30,adidas,VT,0.0
31,nike,WV,0.0
32,adidas,IN,0.0
33,adidas,LA,0.0
34,adidas,ID,0.0
35,adidas,WY,0.0
36,adidas,PA,0.0
37,adidas,ME,0.0
38,nike,CO,0.14
39,nike,MT,0.0
40,adidas,ND,0.0
41,nike,DE,0.0
42,nike,MA,0.11
43,adidas,CA,0.08
44,nike,TX,0.0
45,adidas,KY,0.59
46,nike,NV,0.06
47,adidas,AL,0.0
48,nike,MI,0.07
49,adidas,SC,0.0
50,nike,NC,0.11
51,nike,WI,0.0
52,nike,SD,0.0
53,nike,FL,0.2
54,nike,ND,0.0
55,nike,ID,0.0
56,nike,MN,0.32
57,nike,NM,0.0
58,adidas,UT,0.98
59,nike,GA,0.17
60,nike,TN,0.07
61,nike,MD,0.0
62,adidas,AZ,0.16
63,adidas,MI,0.0
64,adidas,OH,0.0
65,adidas,CO,0.0
66,adidas,NE,0.0
67,nike,CT,0.15
68,adidas,NC,0.53
69,adidas,MT,0.0
70,nike,UT,0.33
71,nike,WY,0.0
72,nike,KY,0.27
73,nike,OK,0.14
74,adidas,OK,0.0
75,adidas,OR,0.23
76,nike,AL,0.23
77,nike,NY,0.16
78,nike,LA,0.0
79,adidas,DE,0.0
80,nike,VA,0.0
81,nike,IN,0.08
82,nike,VT,0.0
83,nike,NH,0.0
84,adidas,NJ,0.0
85,nike,MS,0.0
86,nike,AR,0.0
87,nike,ME,0.0
88,adidas,TX,0.26
89,adidas,AR,0.0
